FID,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER_,SORT,dis_m3_pyr,dis_m3_pmn,dis_m3_pmx,run_mm_syr,inu_pc_smn,inu_pc_umn,inu_pc_smx,inu_pc_umx,inu_pc_slt,inu_pc_ult,lka_pc_sse,lka_pc_use,lkv_mc_usu,rev_mc_usu,dor_pc_pva,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,gwt_cm_sav,ele_mt_sav,ele_mt_uav,ele_mt_smn,ele_mt_smx,slp_dg_sav,slp_dg_uav,sgr_dk_sav,clz_cl_smj,cls_cl_smj,tmp_dc_syr,tmp_dc_uyr,tmp_dc_smn,tmp_dc_smx,tmp_dc_s01,tmp_dc_s02,tmp_dc_s03,tmp_dc_s04,tmp_dc_s05,tmp_dc_s06,tmp_dc_s07,tmp_dc_s08,tmp_dc_s09,tmp_dc_s10,tmp_dc_s11,tmp_dc_s12,pre_mm_syr,pre_mm_uyr,pre_mm_s01,pre_mm_s02,pre_mm_s03,pre_mm_s04,pre_mm_s05,pre_mm_s06,pre_mm_s07,pre_mm_s08,pre_mm_s09,pre_mm_s10,pre_mm_s11,pre_mm_s12,pet_mm_syr,pet_mm_uyr,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,aet_mm_syr,aet_mm_uyr,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,ari_ix_sav,ari_ix_uav,cmi_ix_syr,cmi_ix_uyr,cmi_ix_s01,cmi_ix_s02,cmi_ix_s03,cmi_ix_s04,cmi_ix_s05,cmi_ix_s06,cmi_ix_s07,cmi_ix_s08,cmi_ix_s09,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,snw_pc_syr,snw_pc_uyr,snw_pc_smx,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,snw_pc_s07,snw_pc_s08,snw_pc_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,glc_cl_smj,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,pnv_cl_smj,pnv_pc_s01,pnv_pc_s02,pnv_pc_s03,pnv_pc_s04,pnv_pc_s05,pnv_pc_s06,pnv_pc_s07,pnv_pc_s08,pnv_pc_s09,pnv_pc_s10,pnv_pc_s11,pnv_pc_s12,pnv_pc_s13,pnv_pc_s14,pnv_pc_s15,pnv_pc_u01,pnv_pc_u02,pnv_pc_u03,pnv_pc_u04,pnv_pc_u05,pnv_pc_u06,pnv_pc_u07,pnv_pc_u08,pnv_pc_u09,pnv_pc_u10,pnv_pc_u11,pnv_pc_u12,pnv_pc_u13,pnv_pc_u14,pnv_pc_u15,wet_cl_smj,wet_pc_sg1,wet_pc_ug1,wet_pc_sg2,wet_pc_ug2,wet_pc_s01,wet_pc_s02,wet_pc_s03,wet_pc_s04,wet_pc_s05,wet_pc_s06,wet_pc_s07,wet_pc_s08,wet_pc_s09,wet_pc_u01,wet_pc_u02,wet_pc_u03,wet_pc_u04,wet_pc_u05,wet_pc_u06,wet_pc_u07,wet_pc_u08,wet_pc_u09,for_pc_sse,for_pc_use,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,ire_pc_sse,ire_pc_use,gla_pc_sse,gla_pc_use,prm_pc_sse,prm_pc_use,pac_pc_sse,pac_pc_use,tbi_cl_smj,tec_cl_smj,fmh_cl_smj,fec_cl_smj,cly_pc_sav,cly_pc_uav,slt_pc_sav,slt_pc_uav,snd_pc_sav,snd_pc_uav,soc_th_sav,soc_th_uav,swc_pc_syr,swc_pc_uyr,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,lit_cl_smj,kar_pc_sse,kar_pc_use,ero_kh_sav,ero_kh_uav,pop_ct_ssu,pop_ct_usu,ppd_pk_sav,ppd_pk_uav,urb_pc_sse,urb_pc_use,nli_ix_sav,nli_ix_uav,rdd_mk_sav,rdd_mk_uav,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09,gad_id_smj,gdp_ud_sav,gdp_ud_ssu,gdp_ud_usu,hdi_ix_sav
0,7040046750,0,7040046750,7040046750,0,0,42962.1,42962.1,7410,0,1,0,1182,1.386,0.892,2.208,642,10,8,16,70,26,97,56,0,0,0,0,12772.446,4.665,164616.031,7.711,45,75,4,-4,215,10,5,18,14,85,186,197,88,271,88,107,145,187,226,259,271,269,245,189,141,103,1539,1593,140,140,150,135,128,112,147,128,113,83,115,149,1426,1305,55,67,105,135,166,178,181,169,136,108,71,55,1156,1183,55,67,105,131,146,136,129,117,94,74,53,50,108,122,7,18,61,52,29,-1,-23,-37,-19,-24,-17,-24,39,63,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,4,0,3,0,77,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,10,0,1,0,0,0,84,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,4,0,0,0,93,3,0,0,3,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,11,29,24,28,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,84,8,1,6,2,0,0,0,0,0,0,3,47,8,399,7,149,19,18,36,32,45,50,53,86,84,92,100,100,100,97,89,78,72,70,69,68,74,90,1,3,0,628,445,2141.281,19.522,51.077,292.714,4,25,1390,3854,761,18797,106,311,106,313,240,43744,98060492800,856359616,794
1,7040047060,0,7040047060,7040047060,0,0,5478.6,3179500.3,7421,0,0,1,1183,21894.457,11662.151,37480.75,700,22,2,42,7,47,12,30,9,401069,328417,476,49870.523,977817.875,6259730,37744956,34,25,663,-4,133,6,26,11,14,93,195,101,101,275,101,118,156,197,234,264,275,273,252,201,154,117,1551,781,135,136,132,124,130,124,156,143,129,87,113,144,1395,1121,57,68,105,133,161,170,173,162,132,107,72,57,1180,635,57,68,105,127,141,134,131,122,101,82,58,54,111,69,10,-31,57,50,20,-7,-19,-27,-9,-11,-3,-19,36,60,0,10,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,48,0,0,0,0,0,0,0,0,2,2,2,24,0,0,0,11,0,6,0,14,0,10,0,4,0,0,0,0,0,12,23,1,0,33,0,0,0,1,0,1,4,0,0,0,63,7,0,0,20,0,10,0,0,0,0,0,0,0,0,6,22,2,0,7,16,41,0,6,0,0,0,11,40,9,32,7,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54,27,13,38,5,27,0,4,0,0,0,0,1,3,4,337,7,149,22,20,37,41,42,39,82,25,87,59,100,100,100,96,89,80,76,76,77,77,81,93,1,0,25,2333,3118,915.017,78578.055,174.948,25.218,11,2,2874,800,1632,321,220,87,199,83,240,48002,42368901120,3.95333E+12,795
2,7040741770,7040047060,7040047060,7040047060,510,510,56570.3,2934853,7423,0,0,1,1184,19407.025,10186.18,35220,757,5,2,32,7,38,12,20,9,354229,284675,465,62087.391,870878.625,5383016.5,30442904,54,77,692,10,219,10,28,17,14,85,171,96,59,270,59,81,125,174,216,254,270,265,235,175,121,76,1413,760,130,125,151,137,133,100,111,81,86,84,126,149,1369,1098,45,57,96,130,163,178,184,172,135,102,62,45,1044,619,45,57,96,127,147,136,122,100,74,58,42,40,103,69,3,-31,66,55,36,5,-19,-43,-40,-53,-36,-18,50,70,0,11,2,1,0,0,0,0,0,0,0,0,0,0,1,16,0,27,0,25,0,0,0,0,0,0,1,0,1,0,0,44,0,0,0,1,0,0,0,14,0,8,0,4,0,0,0,0,0,13,22,1,0,35,0,0,0,1,0,1,5,0,0,0,22,60,0,0,17,0,0,0,0,0,0,0,0,0,0,4,23,2,0,7,16,42,1,6,0,0,0,11,22,8,20,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,26,33,39,6,27,12,4,0,0,0,0,2,3,8,399,7,149,21,20,40,41,39,39,27,25,80,59,99,100,100,98,91,79,68,59,55,56,67,88,1,5,25,3761,3234,924.48,74444.531,16.585,25.87,1,2,766,800,248,324,85,88,77,83,240,41106,37633503232,3.75794E+12,793
3,7040741760,7040047060,7040047060,7040047060,510,510,239521.6,239521.6,7422,0,0,2,1185,2186.597,663.879,3665.315,292,2,2,8,8,13,13,10,10,46517,43742,634,57087.355,57085.98,1042451.5,1042444.25,139,323,319,6,1502,13,13,26,11,85,166,166,46,275,46,71,116,168,210,253,275,270,232,173,111,62,1019,1022,63,71,89,90,122,98,79,72,92,84,81,78,1398,1398,44,57,97,133,166,182,196,181,136,101,60,44,823,826,33,43,72,93,111,111,101,81,62,51,35,30,73,73,-27,-27,5,3,-12,-32,-26,-46,-59,-60,-32,-18,9,16,0,0,3,2,1,0,0,0,0,0,0,0,0,1,2,13,0,8,0,32,0,0,0,0,0,0,1,7,37,1,0,13,0,0,0,1,0,0,0,8,0,32,0,0,0,0,0,0,1,7,37,1,0,13,0,0,0,1,0,0,10,0,0,0,30,16,0,0,6,12,35,0,0,0,0,0,0,0,0,30,16,0,0,6,12,35,0,0,0,0,0,11,12,12,11,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,40,27,27,27,27,5,5,0,0,0,0,3,3,8,363,6,145,22,22,37,37,41,41,18,18,62,62,73,74,74,71,68,63,54,46,45,50,58,67,1,18,18,1715,1721,3219.063,3218.986,13.7,13.768,1,1,581,600,258,259,76,77,78,78,240,47137,1.53022E+11,1.53019E+11,838
4,7040686540,7040741770,7040047060,7040047060,967.4000244,967.4000244,125573.5,2469256,7425,0,0,1,1186,16784.418,8924.77,30892.314,535,5,2,24,7,29,12,8,9,304584,239120,452,92289.203,750532.563,6499074.5,24057974,123,188,676,32,777,24,29,27,11,72,146,89,16,262,16,41,93,150,196,240,262,252,214,154,92,38,1226,758,81,90,124,119,129,97,92,85,99,82,115,113,1267,1060,33,44,82,120,156,175,187,169,126,91,50,34,950,616,33,44,81,116,140,134,118,94,70,54,35,30,97,71,-3,-30,56,49,33,-1,-18,-45,-51,-50,-21,-9,56,70,1,12,5,2,4,1,0,0,0,0,0,0,0,0,3,16,0,46,0,2,0,0,0,0,0,0,0,0,1,0,0,49,0,0,0,1,0,1,0,16,0,7,0,4,0,0,0,0,0,12,19,2,0,37,0,0,0,1,0,1,5,0,0,0,1,80,0,0,16,3,0,0,0,0,0,0,0,0,0,3,24,2,0,8,16,39,0,7,0,0,0,11,8,8,7,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,27,41,39,8,26,16,4,0,0,0,0,4,3,4,340,6,147,22,20,40,41,37,38,28,26,80,60,98,99,100,97,91,79,65,56,55,59,70,88,1,39,27,4755,3460,3336.919,66403.383,26.776,27.453,1,2,882,900,361,338,97,91,90,85,240,45101,1.54731E+11,3.36833E+12,835
5,7040686450,7040741770,7040047060,7040047060,967.5999756,967.5999756,414787.8,414787.8,7424,0,0,2,1187,1316.605,591.809,2159.821,113,1,1,3,3,5,6,6,6,37608,35273,850,58394.941,58261.938,1002278.188,1002021.563,316,882,874,34,4365,20,20,52,11,72,128,129,0,254,0,26,70,126,175,225,254,244,199,139,67,14,680,686,23,29,52,58,92,84,74,72,70,53,43,31,1288,1288,33,45,81,119,157,182,198,176,128,89,48,33,573,578,17,23,41,59,76,83,82,68,50,37,21,15,53,54,-47,-46,-36,-39,-37,-51,-41,-53,-62,-59,-45,-41,-21,-21,3,3,14,11,10,3,1,0,0,0,0,0,1,2,12,13,0,6,0,12,0,0,0,0,0,0,0,22,40,0,0,18,0,0,0,1,0,1,0,6,0,12,0,0,0,0,0,0,0,21,40,0,0,19,0,0,0,1,0,1,10,0,0,0,3,11,0,1,1,15,61,1,6,0,0,0,0,0,0,3,11,0,1,1,16,61,1,6,0,0,0,11,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,36,35,38,39,6,6,0,0,0,0,2,2,8,402,6,144,21,21,38,38,41,41,17,17,46,47,51,51,51,50,49,47,43,39,39,42,45,48,1,19,19,1789,1798,7124.827,7116.823,17.302,17.607,1,1,522,500,248,251,67,68,73,74,240,49037,3.52378E+11,3.51989E+11,885
6,7040612840,7040686540,7040047060,7040047060,1585.800049,1585.800049,42808.5,1815893.4,7427,0,0,1,1188,6845.681,4397.712,11893.573,300,5,2,21,6,28,12,9,10,210242,151391,701,24628.594,399174.906,1425979.25,9144745,111,192,805,34,519,17,24,22,11,68,126,76,-16,251,-16,10,67,130,180,229,251,240,200,138,71,10,1045,603,56,62,99,101,111,97,97,86,85,74,93,84,1179,1022,25,35,70,110,151,172,183,163,121,81,42,25,859,513,23,34,69,105,130,128,115,92,67,47,28,21,89,59,-11,-41,55,43,29,-9,-27,-44,-47,-47,-29,-9,55,70,2,15,10,7,9,1,0,0,0,0,0,0,0,0,7,16,0,34,0,1,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,1,0,2,0,4,0,9,0,3,0,0,1,0,0,16,26,2,0,37,0,0,0,1,0,1,5,0,0,0,0,57,0,0,1,42,0,0,0,0,0,0,0,0,0,4,5,3,0,6,19,54,1,9,0,0,0,11,6,10,4,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,16,47,42,6,34,1,4,0,0,0,0,4,4,8,387,7,148,25,19,47,41,28,39,24,23,78,52,92,97,99,96,88,76,65,57,55,58,67,82,3,52,22,5411,3188,2511.557,33674.684,59.181,19.034,4,1,1493,700,696,259,123,78,120,71,240,52265,1.29432E+11,1.81704E+12,931
7,7040612640,7040686540,7040047060,7040047060,1586,1586,528052.3,528052.3,7426,0,0,2,1189,7860.493,3412.625,15844.041,480,3,3,7,7,11,11,8,8,71546,66328,268,259117.594,259074.797,8414483,8414276,215,348,348,-17,2016,48,48,52,11,62,117,117,-12,232,-12,7,60,116,167,211,232,224,189,126,68,13,1174,1178,84,84,111,104,115,103,116,97,89,77,97,98,1139,1141,26,35,69,107,147,166,173,155,116,78,42,26,888,890,25,35,69,104,131,129,120,99,72,50,31,23,103,103,2,2,69,57,36,-3,-22,-38,-33,-37,-22,-2,57,73,4,4,22,14,21,3,0,0,0,0,0,0,1,1,10,2,0,47,0,3,0,9,0,0,0,0,0,0,1,0,0,38,0,0,0,1,0,2,0,47,0,3,0,10,0,0,0,0,0,0,1,0,0,38,0,0,0,1,0,2,5,0,0,0,2,76,0,0,13,9,0,0,0,0,0,0,0,0,0,2,76,0,0,13,9,0,0,0,0,0,0,11,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,59,32,32,5,5,0,0,0,0,0,0,3,3,4,329,6,150,22,22,43,42,35,35,36,36,82,82,97,100,100,97,90,79,70,65,63,65,74,88,3,39,40,4092,4082,29395.043,29392,56.836,56.567,4,4,1548,1500,608,605,135,134,134,133,240,46542,1.39668E+12,1.39656E+12,872
8,7040569640,7040612840,7040047060,7040047060,1913,1913,1381472,1381472,7429,0,0,1,1190,2933.591,1661.184,4844.562,90,1,1,2,2,7,6,8,7,162174,133709,1445,253915.719,251706.719,5237877.5,5231555,341,997,994,92,4314,28,28,65,8,54,72,74,-75,215,-75,-44,3,70,128,180,215,204,148,87,5,-56,500,513,16,16,32,48,74,78,60,52,49,34,23,18,1025,1035,14,23,49,89,134,164,186,161,104,62,26,14,429,440,6,11,24,43,64,75,75,57,37,23,10,6,49,50,-51,-50,7,-28,-36,-46,-45,-52,-67,-67,-53,-47,-21,12,16,15,56,53,48,19,6,2,0,0,0,0,3,13,43,13,0,2,0,10,0,1,0,0,1,0,0,22,35,3,0,25,0,0,0,1,0,0,0,2,0,10,0,1,0,0,1,0,0,22,36,3,0,25,0,0,0,1,0,0,10,0,0,0,3,4,4,0,0,7,69,1,13,0,0,0,0,0,0,3,4,4,0,0,8,68,1,12,0,0,0,11,9,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,37,37,44,44,5,5,0,0,0,0,4,4,8,396,6,142,19,19,39,39,42,42,20,20,43,43,46,48,48,48,48,46,42,36,35,36,38,41,3,14,15,2400,2527,12614.891,12580.277,8.786,9.589,1,1,393,400,151,159,59,60,54,56,240,51428,6.76892E+11,6.75085E+11,908
9,7040569650,7040612840,7040047060,7040047060,1913.099976,1913.099976,446352.2,446352.2,7428,0,0,2,1191,3593.997,2341.181,6504.188,261,5,5,15,16,26,27,19,18,44411,14834,131,122839.32,122839.734,2487266,2487246.25,73,306,304,101,636,13,13,20,8,57,76,77,-94,223,-94,-64,3,81,147,198,223,209,161,99,16,-63,824,827,27,26,54,77,92,105,102,98,91,64,50,37,967,969,10,18,45,87,136,160,169,145,99,60,25,12,695,698,8,15,40,77,110,116,110,89,62,40,18,9,85,85,-15,-15,63,29,16,-12,-32,-34,-40,-32,-8,6,48,67,17,16,69,65,61,23,2,0,0,0,0,0,1,4,44,16,0,9,0,6,0,12,0,0,0,0,1,0,0,0,0,69,0,1,0,2,0,1,0,8,0,6,0,11,0,0,0,0,1,0,0,0,0,70,0,1,0,2,0,1,9,0,0,0,7,2,0,0,23,51,17,0,0,0,0,0,0,0,0,7,2,0,0,22,52,17,0,0,0,0,0,11,17,17,15,15,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26,25,55,55,5,5,1,1,0,0,0,0,3,3,8,388,7,148,20,20,47,46,33,33,34,34,76,76,85,88,89,88,82,73,66,62,63,67,72,79,6,38,39,4856,4943,18583.035,18582.928,42.979,43.271,3,3,1377,1400,511,513,127,128,109,110,240,52610,1.01253E+12,1.01253E+12,945
